# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
canonical,544,1415,544,0,0,1,ok,614694,0,replay=single
cool,544,383,544,0,0,1,ok,1279165,1920,replay=match
escal,544,378,544,0,0,1,ok,875782,1145,replay=match
stallcool,544,374,544,0,0,1,ok,886672,1164,replay=match
queue2spread,544,471,544,0,0,1,ok,706263,257,replay=match
canonical,560,1723,560,0,0,1,ok,674859,0,replay=single
cool,560,432,560,0,0,1,ok,1361024,2189,replay=match
escal,560,393,560,0,0,1,ok,949796,1422,replay=match
stallcool,560,431,560,0,0,1,ok,1016945,1298,replay=match
queue2spread,560,460,560,0,0,1,ok,764277,261,replay=match
canonical,576,1784,576,0,0,1,ok,764363,0,replay=single
cool,576,398,576,0,0,1,ok,1586139,2108,replay=match
escal,576,408,576,0,0,1,ok,1060052,1546,replay=match
stallcool,576,410,576,0,0,1,ok,1171313,1463,replay=match
queue2spread,576,548,576,0,0,1,ok,839764,220,replay=match
canonical,592,1845,592,0,0,1,ok,809382,0,replay=single
cool,592,400,592,0,0,1,ok,1611361,2092,replay=match
escal,592,501,592,0,0,1,ok,1176036,1607,replay=match
stallcool,592,434,592,0,0,1,ok,1181944,1454,replay=match
queue2spread,592,491,592,0,0,1,ok,919493,263,replay=match
canonical,608,1836,608,0,0,1,ok,861125,0,replay=single
cool,608,471,608,0,0,1,ok,1786649,2457,replay=match
escal,608,431,608,0,0,1,ok,1220487,1690,replay=match
stallcool,608,494,608,0,0,1,ok,1246453,1423,replay=match
queue2spread,608,456,608,0,0,1,ok,934210,256,replay=match
canonical,624,1859,624,0,0,1,ok,917068,0,replay=single
cool,624,450,624,0,0,1,ok,1854342,2516,replay=match
escal,624,409,624,0,0,1,ok,1285968,1695,replay=match
stallcool,624,474,624,0,0,1,ok,1310632,1672,replay=match
queue2spread,624,478,624,0,0,1,ok,982115,218,replay=match
canonical,640,1886,640,0,0,1,ok,937976,0,replay=single
cool,640,543,640,0,0,1,ok,2223693,2881,replay=match
escal,640,443,640,0,0,1,ok,1428758,1984,replay=match
stallcool,640,558,640,0,0,1,ok,1367875,1675,replay=match
queue2spread,640,532,640,0,0,1,ok,1115931,298,replay=match
canonical,656,1852,656,0,0,1,ok,940228,0,replay=single
cool,656,507,656,0,0,1,ok,1853357,2428,replay=match
escal,656,494,656,0,0,1,ok,1376444,1855,replay=match
stallcool,656,446,656,0,0,1,ok,1346296,1553,replay=match
queue2spread,656,537,656,0,0,1,ok,1126794,321,replay=match
canonical,672,1889,672,0,0,1,ok,950331,0,replay=single
cool,672,507,672,0,0,1,ok,2178492,2883,replay=match
escal,672,613,672,0,0,1,ok,1740657,2346,replay=match
stallcool,672,492,672,0,0,1,ok,1486708,1857,replay=match
queue2spread,672,548,672,0,0,1,ok,1150880,374,replay=match
canonical,688,2103,688,0,0,1,ok,991573,0,replay=single
cool,688,561,688,0,0,1,ok,2269774,3101,replay=match
escal,688,527,688,0,0,1,ok,1448392,1866,replay=match
stallcool,688,606,688,0,0,1,ok,1620200,1919,replay=match
queue2spread,688,522,688,0,0,1,ok,1183659,363,replay=match
canonical,704,2205,704,0,0,1,ok,1052963,0,replay=single
cool,704,609,704,0,0,1,ok,2684315,3397,replay=match
escal,704,652,704,0,0,1,ok,2083997,2424,replay=match
stallcool,704,518,704,0,0,1,ok,1753931,2060,replay=match
queue2spread,704,558,704,0,0,1,ok,1266325,337,replay=match
canonical,720,2179,720,0,0,1,ok,1093898,0,replay=single
cool,720,595,720,0,0,1,ok,2712986,3341,replay=match
escal,720,538,720,0,0,1,ok,1766206,2172,replay=match
stallcool,720,542,720,0,0,1,ok,2219248,2419,replay=match
queue2spread,720,513,720,0,0,1,ok,1301664,313,replay=match
canonical,736,2236,736,0,0,1,ok,1140983,0,replay=single
cool,736,624,736,0,0,1,ok,3224496,3743,replay=match
escal,736,558,736,0,0,1,ok,1900170,2494,replay=match
stallcool,736,550,736,0,0,1,ok,1769414,2080,replay=match
queue2spread,736,501,736,0,0,1,ok,1382083,426,replay=match
canonical,752,2276,752,0,0,1,ok,1194296,0,replay=single
cool,752,608,752,0,0,1,ok,2841642,3400,replay=match
escal,752,492,752,0,0,1,ok,1830825,2104,replay=match
stallcool,752,600,752,0,0,1,ok,2020322,2633,replay=match
queue2spread,752,548,752,0,0,1,ok,1441897,427,replay=match
canonical,768,2265,768,0,0,1,ok,1213644,0,replay=single
cool,768,656,768,0,0,1,ok,3163157,3563,replay=match
escal,768,627,768,0,0,1,ok,2081844,2549,replay=match
stallcool,768,565,768,0,0,1,ok,2051207,2628,replay=match
queue2spread,768,557,768,0,0,1,ok,1432575,458,replay=match
canonical,784,2268,784,0,0,1,ok,1216183,0,replay=single
cool,784,619,784,0,0,1,ok,2837556,3409,replay=match
escal,784,618,784,0,0,1,ok,2027541,2538,replay=match
stallcool,784,576,784,0,0,1,ok,2194087,2583,replay=match
queue2spread,784,583,784,0,0,1,ok,1455556,456,replay=match
canonical,800,2217,800,0,0,1,ok,1227520,0,replay=single
cool,800,677,800,0,0,1,ok,2692093,3790,replay=match
escal,800,565,800,0,0,1,ok,2297305,2753,replay=match
stallcool,800,683,800,0,0,1,ok,2355054,2809,replay=match
queue2spread,800,557,800,0,0,1,ok,1443935,428,replay=match
canonical,816,2603,816,0,0,1,ok,1267090,0,replay=single
cool,816,731,816,0,0,1,ok,3479178,4097,replay=match
escal,816,650,816,0,0,1,ok,1984460,2439,replay=match
stallcool,816,659,816,0,0,1,ok,2392695,3117,replay=match
queue2spread,816,614,816,0,0,1,ok,1498346,450,replay=match
canonical,832,2710,832,0,0,1,ok,1327403,0,replay=single
cool,832,679,832,0,0,1,ok,3284699,3938,replay=match
escal,832,576,832,0,0,1,ok,2526870,2936,replay=match
stallcool,832,767,832,0,0,1,ok,2862152,3177,replay=match
queue2spread,832,664,832,0,0,1,ok,1573263,391,replay=match
canonical,848,2675,848,0,0,1,ok,1369619,0,replay=single
cool,848,706,848,0,0,1,ok,3378015,4293,replay=match
escal,848,586,848,0,0,1,ok,2277610,2672,replay=match
stallcool,848,679,848,0,0,1,ok,2723784,3052,replay=match
queue2spread,848,660,848,0,0,1,ok,1643976,455,replay=match
canonical,864,2693,864,0,0,1,ok,1414081,0,replay=single
cool,864,820,864,0,0,1,ok,4350140,5140,replay=match
escal,864,616,864,0,0,1,ok,2691705,3002,replay=match
stallcool,864,652,864,0,0,1,ok,2645222,3110,replay=match
queue2spread,864,610,864,0,0,1,ok,1650099,418,replay=match
canonical,880,2720,880,0,0,1,ok,1483479,0,replay=single
cool,880,796,880,0,0,1,ok,3667454,4377,replay=match
escal,880,586,880,0,0,1,ok,2395447,2656,replay=match
stallcool,880,591,880,0,0,1,ok,2439319,2780,replay=match
queue2spread,880,609,880,0,0,1,ok,1683788,513,replay=match
canonical,896,2667,896,0,0,1,ok,1502780,0,replay=single
cool,896,814,896,0,0,1,ok,3599926,4672,replay=match
escal,896,683,896,0,0,1,ok,2501517,3151,replay=match
stallcool,896,629,896,0,0,1,ok,2601664,3221,replay=match
queue2spread,896,655,896,0,0,1,ok,1703631,435,replay=match
canonical,912,2747,912,0,0,1,ok,1472736,0,replay=single
cool,912,667,912,0,0,1,ok,3307996,4025,replay=match
escal,912,701,912,0,0,1,ok,2588046,3020,replay=match
stallcool,912,639,912,0,0,1,ok,2374118,2739,replay=match
queue2spread,912,674,912,0,0,1,ok,1654040,453,replay=match
canonical,928,2695,928,0,0,1,ok,1516321,0,replay=single
cool,928,712,928,0,0,1,ok,3531833,4236,replay=match
