# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
escal,688,739,688,0,0,1,ok,7782011,3641,replay=match
stallcool,688,759,688,0,0,1,ok,8986189,3804,replay=match
queue2spread,688,881,688,0,0,1,ok,4327258,278,replay=match
canonical,704,5000,456,0,0,0,ok,2301445,0,replay=single
cool,704,711,704,0,0,1,ok,6485960,4528,replay=match
escal,704,753,704,0,0,1,ok,8004442,3659,replay=match
stallcool,704,803,704,0,0,1,ok,9108041,3992,replay=match
queue2spread,704,711,704,0,0,1,ok,4508412,448,replay=match
canonical,720,5000,458,0,0,0,ok,2383775,0,replay=single
cool,720,739,720,0,0,1,ok,7548141,5060,replay=match
escal,720,850,720,0,0,1,ok,8238749,3905,replay=match
stallcool,720,818,720,0,0,1,ok,9013664,4074,replay=match
queue2spread,720,760,720,0,0,1,ok,4532829,343,replay=match
canonical,736,5000,451,0,0,0,ok,2482815,0,replay=single
cool,736,660,736,0,0,1,ok,6735535,4105,replay=match
escal,736,781,736,0,0,1,ok,8586527,3919,replay=match
stallcool,736,819,736,0,0,1,ok,9101147,4162,replay=match
queue2spread,736,813,736,0,0,1,ok,4703726,329,replay=match
canonical,752,5000,452,0,0,0,ok,2582974,0,replay=single
cool,752,660,752,0,0,1,ok,6850398,4287,replay=match
escal,752,666,752,0,0,1,ok,8665498,4388,replay=match
stallcool,752,854,752,0,0,1,ok,10143670,4745,replay=match
queue2spread,752,789,752,0,0,1,ok,4941643,562,replay=match
canonical,768,5000,445,0,0,0,ok,2682414,0,replay=single
cool,768,758,768,0,0,1,ok,7652502,4663,replay=match
escal,768,789,768,0,0,1,ok,9825675,4649,replay=match
stallcool,768,897,768,0,0,1,ok,11421987,4840,replay=match
queue2spread,768,786,768,0,0,1,ok,5070826,529,replay=match
canonical,784,5000,461,0,0,0,ok,2684174,0,replay=single
cool,784,693,784,0,0,1,ok,7175430,4395,replay=match
escal,784,824,784,0,0,1,ok,9403804,4626,replay=match
stallcool,784,862,784,0,0,1,ok,10212061,4184,replay=match
queue2spread,784,803,784,0,0,1,ok,5165384,637,replay=match
canonical,800,5000,485,0,0,0,ok,2687110,0,replay=single
cool,800,710,800,0,0,1,ok,7610985,4775,replay=match
escal,800,786,800,0,0,1,ok,9574549,4538,replay=match
stallcool,800,985,800,0,0,1,ok,10498515,4331,replay=match
queue2spread,800,828,800,0,0,1,ok,5042416,460,replay=match
canonical,816,5000,483,0,0,0,ok,2702709,0,replay=single
cool,816,781,816,0,0,1,ok,7402888,4662,replay=match
escal,816,836,816,0,0,1,ok,10022782,4675,replay=match
stallcool,816,933,816,0,0,1,ok,11046367,5068,replay=match
queue2spread,816,845,816,0,0,1,ok,5069937,389,replay=match
canonical,832,5000,484,0,0,0,ok,2752357,0,replay=single
cool,832,695,832,0,0,1,ok,7246111,4606,replay=match
escal,832,798,832,0,0,1,ok,9318718,4716,replay=match
stallcool,832,862,832,0,0,1,ok,11605117,4889,replay=match
queue2spread,832,835,832,0,0,1,ok,5147424,511,replay=match
canonical,848,5000,488,0,0,0,ok,2835277,0,replay=single
cool,848,744,848,0,0,1,ok,8037618,4994,replay=match
escal,848,852,848,0,0,1,ok,10176686,4511,replay=match
stallcool,848,1002,848,0,0,1,ok,12395031,5686,replay=match
queue2spread,848,819,848,0,0,1,ok,5511404,1416,replay=match
canonical,864,5000,481,0,0,0,ok,2934711,0,replay=single
cool,864,678,864,0,0,1,ok,7615202,4240,replay=match
escal,864,854,864,0,0,1,ok,10438611,4974,replay=match
stallcool,864,916,864,0,0,1,ok,11861200,5035,replay=match
queue2spread,864,795,864,0,0,1,ok,5586380,1380,replay=match
canonical,880,5000,478,0,0,0,ok,3034569,0,replay=single
cool,880,798,880,0,0,1,ok,8183700,5154,replay=match
escal,880,834,880,0,0,1,ok,10314932,4602,replay=match
stallcool,880,899,880,0,0,1,ok,11254817,4752,replay=match
queue2spread,880,841,880,0,0,1,ok,5719258,1347,replay=match
canonical,896,5000,476,0,0,0,ok,3134820,0,replay=single
cool,896,718,896,0,0,1,ok,8607673,4867,replay=match
escal,896,826,896,0,0,1,ok,11064161,5175,replay=match
stallcool,896,867,896,0,0,1,ok,11416810,4774,replay=match
queue2spread,896,905,896,0,0,1,ok,5889993,1563,replay=match
canonical,912,5000,497,0,0,0,ok,3136967,0,replay=single
cool,912,794,912,0,0,1,ok,8692095,4988,replay=match
