# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
cool,592,260,592,0,0,1,ok,637111,1565,replay=match
escal,592,207,592,0,0,1,ok,399379,641,replay=match
stallcool,592,208,592,0,0,1,ok,319539,115,replay=match
queue2spread,592,256,592,0,0,1,ok,321979,76,replay=match
canonical,608,377,608,0,0,1,ok,334756,0,replay=single
cool,608,257,608,0,0,1,ok,662246,1562,replay=match
escal,608,207,608,0,0,1,ok,397170,680,replay=match
stallcool,608,208,608,0,0,1,ok,324462,118,replay=match
queue2spread,608,238,608,0,0,1,ok,326883,82,replay=match
canonical,624,390,624,0,0,1,ok,349173,0,replay=single
cool,624,273,624,0,0,1,ok,689998,1622,replay=match
escal,624,214,624,0,0,1,ok,409259,701,replay=match
stallcool,624,210,624,0,0,1,ok,338191,125,replay=match
queue2spread,624,238,624,0,0,1,ok,340553,86,replay=match
canonical,640,390,640,0,0,1,ok,353329,0,replay=single
cool,640,272,640,0,0,1,ok,698826,1616,replay=match
escal,640,216,640,0,0,1,ok,407572,716,replay=match
stallcool,640,211,640,0,0,1,ok,342170,125,replay=match
queue2spread,640,238,640,0,0,1,ok,344525,86,replay=match
canonical,656,390,656,0,0,1,ok,366173,0,replay=single
cool,656,227,656,0,0,1,ok,725027,1643,replay=match
escal,656,222,656,0,0,1,ok,420083,709,replay=match
stallcool,656,222,656,0,0,1,ok,354281,125,replay=match
queue2spread,656,238,656,0,0,1,ok,356605,86,replay=match
canonical,672,390,672,0,0,1,ok,371370,0,replay=single
cool,672,228,672,0,0,1,ok,747053,1640,replay=match
escal,672,223,672,0,0,1,ok,422175,702,replay=match
stallcool,672,223,672,0,0,1,ok,359329,128,replay=match
queue2spread,672,238,672,0,0,1,ok,361674,89,replay=match
canonical,688,417,688,0,0,1,ok,386122,0,replay=single
cool,688,238,688,0,0,1,ok,776550,1681,replay=match
escal,688,223,688,0,0,1,ok,434940,674,replay=match
stallcool,688,223,688,0,0,1,ok,373437,132,replay=match
queue2spread,688,238,688,0,0,1,ok,375768,93,replay=match
canonical,704,417,704,0,0,1,ok,391319,0,replay=single
cool,704,240,704,0,0,1,ok,792797,1683,replay=match
escal,704,223,704,0,0,1,ok,438149,653,replay=match
stallcool,704,223,704,0,0,1,ok,378438,133,replay=match
queue2spread,704,238,704,0,0,1,ok,380718,93,replay=match
canonical,720,417,720,0,0,1,ok,405572,0,replay=single
cool,720,237,720,0,0,1,ok,824955,1716,replay=match
escal,720,224,720,0,0,1,ok,453812,689,replay=match
stallcool,720,223,720,0,0,1,ok,392285,142,replay=match
queue2spread,720,269,720,0,0,1,ok,395835,94,replay=match
canonical,736,417,736,0,0,1,ok,410769,0,replay=single
cool,736,235,736,0,0,1,ok,853601,1713,replay=match
escal,736,223,736,0,0,1,ok,453274,711,replay=match
stallcool,736,223,736,0,0,1,ok,397330,145,replay=match
queue2spread,736,269,736,0,0,1,ok,400890,97,replay=match
canonical,752,446,752,0,0,1,ok,425521,0,replay=single
cool,752,238,752,0,0,1,ok,876617,1739,replay=match
escal,752,226,752,0,0,1,ok,465455,715,replay=match
stallcool,752,226,752,0,0,1,ok,411433,149,replay=match
queue2spread,752,269,752,0,0,1,ok,414946,101,replay=match
canonical,768,446,768,0,0,1,ok,429756,0,replay=single
cool,768,258,768,0,0,1,ok,892122,1748,replay=match
escal,768,240,768,0,0,1,ok,463885,757,replay=match
stallcool,768,227,768,0,0,1,ok,415486,149,replay=match
queue2spread,768,269,768,0,0,1,ok,418959,101,replay=match
canonical,784,446,784,0,0,1,ok,442786,0,replay=single
cool,784,246,784,0,0,1,ok,911227,1769,replay=match
escal,784,282,784,0,0,1,ok,484706,947,replay=match
stallcool,784,238,784,0,0,1,ok,427850,149,replay=match
queue2spread,784,269,784,0,0,1,ok,431259,101,replay=match
canonical,800,446,800,0,0,1,ok,448082,0,replay=single
cool,800,247,800,0,0,1,ok,936096,1788,replay=match
escal,800,320,800,0,0,1,ok,489129,898,replay=match
stallcool,800,239,800,0,0,1,ok,432890,149,replay=match
queue2spread,800,269,800,0,0,1,ok,436260,101,replay=match
canonical,816,461,816,0,0,1,ok,463093,0,replay=single
cool,816,247,816,0,0,1,ok,964851,1823,replay=match
escal,816,239,816,0,0,1,ok,494035,884,replay=match
stallcool,816,240,816,0,0,1,ok,447183,153,replay=match
queue2spread,816,294,816,0,0,1,ok,450528,101,replay=match
canonical,832,461,832,0,0,1,ok,468389,0,replay=single
cool,832,251,832,0,0,1,ok,989177,1840,replay=match
escal,832,239,832,0,0,1,ok,497709,868,replay=match
stallcool,832,240,832,0,0,1,ok,452252,153,replay=match
