# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
stallcool,560,383,560,0,0,1,ok,1060382,1335,replay=match
queue2spread,560,413,560,0,0,1,ok,902166,290,replay=match
canonical,576,2657,576,0,0,1,ok,819256,0,replay=single
cool,576,369,576,0,0,1,ok,1372752,2151,replay=match
escal,576,416,576,0,0,1,ok,1257259,2026,replay=match
stallcool,576,381,576,0,0,1,ok,1218545,1508,replay=match
queue2spread,576,437,576,0,0,1,ok,946949,265,replay=match
canonical,592,2630,592,0,0,1,ok,867981,0,replay=single
cool,592,359,592,0,0,1,ok,1427520,2117,replay=match
escal,592,392,592,0,0,1,ok,1158744,1664,replay=match
stallcool,592,397,592,0,0,1,ok,1310296,1493,replay=match
queue2spread,592,453,592,0,0,1,ok,1014916,261,replay=match
canonical,608,2641,608,0,0,1,ok,884448,0,replay=single
cool,608,384,608,0,0,1,ok,1507767,2176,replay=match
escal,608,523,608,0,0,1,ok,1262875,1928,replay=match
stallcool,608,374,608,0,0,1,ok,1223765,1525,replay=match
queue2spread,608,453,608,0,0,1,ok,1029845,262,replay=match
canonical,624,2646,624,0,0,1,ok,889534,0,replay=single
cool,624,383,624,0,0,1,ok,1497819,2172,replay=match
escal,624,403,624,0,0,1,ok,1275871,1846,replay=match
stallcool,624,394,624,0,0,1,ok,1267660,1529,replay=match
queue2spread,624,500,624,0,0,1,ok,1013647,249,replay=match
canonical,640,2660,640,0,0,1,ok,913628,0,replay=single
cool,640,395,640,0,0,1,ok,1565784,2144,replay=match
escal,640,414,640,0,0,1,ok,1236213,1871,replay=match
stallcool,640,432,640,0,0,1,ok,1286642,1604,replay=match
queue2spread,640,467,640,0,0,1,ok,1033208,216,replay=match
canonical,656,2652,656,0,0,1,ok,937854,0,replay=single
cool,656,384,656,0,0,1,ok,1632247,2219,replay=match
escal,656,433,656,0,0,1,ok,1301116,1838,replay=match
stallcool,656,423,656,0,0,1,ok,1319067,1724,replay=match
queue2spread,656,467,656,0,0,1,ok,1055819,216,replay=match
canonical,672,2652,672,0,0,1,ok,943151,0,replay=single
cool,672,339,672,0,0,1,ok,1518926,2161,replay=match
escal,672,419,672,0,0,1,ok,1336033,1966,replay=match
stallcool,672,400,672,0,0,1,ok,1327162,1853,replay=match
queue2spread,672,467,672,0,0,1,ok,1062212,232,replay=match
canonical,688,2909,688,0,0,1,ok,960106,0,replay=single
cool,688,340,688,0,0,1,ok,1526447,2095,replay=match
escal,688,399,688,0,0,1,ok,1203685,1579,replay=match
stallcool,688,426,688,0,0,1,ok,1425289,1835,replay=match
queue2spread,688,427,688,0,0,1,ok,1094355,365,replay=match
canonical,704,3205,704,0,0,1,ok,1010250,0,replay=single
cool,704,403,704,0,0,1,ok,1731310,2353,replay=match
escal,704,414,704,0,0,1,ok,1276397,1663,replay=match
stallcool,704,436,704,0,0,1,ok,1414831,1833,replay=match
queue2spread,704,461,704,0,0,1,ok,1157612,464,replay=match
canonical,720,3243,720,0,0,1,ok,1059535,0,replay=single
cool,720,312,720,0,0,1,ok,1657391,2175,replay=match
escal,720,412,720,0,0,1,ok,1366865,1741,replay=match
stallcool,720,437,720,0,0,1,ok,1473320,1926,replay=match
queue2spread,720,391,720,0,0,1,ok,1231709,350,replay=match
canonical,736,3251,736,0,0,1,ok,1076337,0,replay=single
cool,736,385,736,0,0,1,ok,1708143,2270,replay=match
escal,736,425,736,0,0,1,ok,1493970,2032,replay=match
stallcool,736,435,736,0,0,1,ok,1495613,2156,replay=match
queue2spread,736,382,736,0,0,1,ok,1262610,398,replay=match
canonical,752,3231,752,0,0,1,ok,1081534,0,replay=single
cool,752,342,752,0,0,1,ok,1697837,2204,replay=match
escal,752,391,752,0,0,1,ok,1364990,1816,replay=match
stallcool,752,505,752,0,0,1,ok,1584617,2354,replay=match
queue2spread,752,668,752,0,0,1,ok,1277877,321,replay=match
canonical,768,3280,768,0,0,1,ok,1105924,0,replay=single
cool,768,382,768,0,0,1,ok,1728756,2263,replay=match
escal,768,409,768,0,0,1,ok,1382440,1920,replay=match
stallcool,768,470,768,0,0,1,ok,1537522,2140,replay=match
queue2spread,768,665,768,0,0,1,ok,1268347,239,replay=match
canonical,784,3269,784,0,0,1,ok,1130353,0,replay=single
cool,784,426,784,0,0,1,ok,1752378,2333,replay=match
escal,784,405,784,0,0,1,ok,1397890,1858,replay=match
stallcool,784,447,784,0,0,1,ok,1524178,1968,replay=match
queue2spread,784,671,784,0,0,1,ok,1316629,400,replay=match
canonical,800,3271,800,0,0,1,ok,1135783,0,replay=single
cool,800,327,800,0,0,1,ok,1759751,2243,replay=match
escal,800,426,800,0,0,1,ok,1401666,1896,replay=match
