# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
cool,464,281,464,0,0,1,ok,1649812,1991,replay=match
escal,464,299,464,0,0,1,ok,1490913,1467,replay=match
stallcool,464,330,464,0,0,1,ok,1571581,1382,replay=match
queue2spread,464,306,464,0,0,1,ok,1186391,13,replay=match
canonical,480,1399,480,0,0,1,ok,932050,0,replay=single
cool,480,299,480,0,0,1,ok,1732649,2128,replay=match
escal,480,303,480,0,0,1,ok,1510706,1503,replay=match
stallcool,480,309,480,0,0,1,ok,1607812,1311,replay=match
queue2spread,480,306,480,0,0,1,ok,1226786,13,replay=match
canonical,496,1390,496,0,0,1,ok,973948,0,replay=single
cool,496,346,496,0,0,1,ok,1775914,2078,replay=match
escal,496,306,496,0,0,1,ok,1555901,1480,replay=match
stallcool,496,304,496,0,0,1,ok,1629782,1297,replay=match
queue2spread,496,306,496,0,0,1,ok,1265929,13,replay=match
canonical,512,1390,512,0,0,1,ok,992860,0,replay=single
cool,512,305,512,0,0,1,ok,1740522,2034,replay=match
escal,512,328,512,0,0,1,ok,1572254,1479,replay=match
stallcool,512,330,512,0,0,1,ok,1645141,1322,replay=match
queue2spread,512,306,512,0,0,1,ok,1283952,13,replay=match
canonical,528,1390,528,0,0,1,ok,995175,0,replay=single
cool,528,325,528,0,0,1,ok,1778098,2037,replay=match
escal,528,333,528,0,0,1,ok,1531659,1445,replay=match
stallcool,528,300,528,0,0,1,ok,1640945,1301,replay=match
queue2spread,528,352,528,0,0,1,ok,1288378,8,replay=match
canonical,544,1415,544,0,0,1,ok,1005052,0,replay=single
cool,544,307,544,0,0,1,ok,1769897,2071,replay=match
escal,544,334,544,0,0,1,ok,1499867,1431,replay=match
stallcool,544,313,544,0,0,1,ok,1620129,1455,replay=match
queue2spread,544,352,544,0,0,1,ok,1297683,8,replay=match
canonical,560,1662,560,0,0,1,ok,1046502,0,replay=single
cool,560,373,560,0,0,1,ok,1869751,2129,replay=match
escal,560,340,560,0,0,1,ok,1606983,1554,replay=match
stallcool,560,321,560,0,0,1,ok,1682069,1437,replay=match
queue2spread,560,324,560,0,0,1,ok,1338090,24,replay=match
canonical,576,1730,576,0,0,1,ok,1105356,0,replay=single
cool,576,411,576,0,0,1,ok,1944502,2248,replay=match
escal,576,343,576,0,0,1,ok,1651765,1665,replay=match
stallcool,576,341,576,0,0,1,ok,1795612,1489,replay=match
queue2spread,576,324,576,0,0,1,ok,1394174,28,replay=match
canonical,592,1735,592,0,0,1,ok,1145216,0,replay=single
cool,592,366,592,0,0,1,ok,2064300,2268,replay=match
escal,592,354,592,0,0,1,ok,1729040,1731,replay=match
stallcool,592,373,592,0,0,1,ok,1792424,1499,replay=match
queue2spread,592,324,592,0,0,1,ok,1442866,32,replay=match
canonical,608,1730,608,0,0,1,ok,1189244,0,replay=single
cool,608,331,608,0,0,1,ok,2044043,2262,replay=match
escal,608,342,608,0,0,1,ok,1812936,1712,replay=match
stallcool,608,358,608,0,0,1,ok,1815418,1471,replay=match
queue2spread,608,328,608,0,0,1,ok,1483252,32,replay=match
canonical,624,1738,624,0,0,1,ok,1231760,0,replay=single
cool,624,394,624,0,0,1,ok,2060301,2267,replay=match
escal,624,334,624,0,0,1,ok,1801001,1758,replay=match
stallcool,624,356,624,0,0,1,ok,1854049,1561,replay=match
queue2spread,624,328,624,0,0,1,ok,1522795,32,replay=match
canonical,640,1749,640,0,0,1,ok,1251031,0,replay=single
cool,640,365,640,0,0,1,ok,2084167,2353,replay=match
escal,640,352,640,0,0,1,ok,1780893,1712,replay=match
stallcool,640,362,640,0,0,1,ok,1859868,1705,replay=match
queue2spread,640,328,640,0,0,1,ok,1540856,32,replay=match
canonical,656,1744,656,0,0,1,ok,1253362,0,replay=single
cool,656,327,656,0,0,1,ok,2048914,2270,replay=match
