# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
escal,464,176,464,0,0,1,ok,51879,14,replay=match
stallcool,464,180,464,0,0,1,ok,51279,6,replay=match
queue2spread,464,166,464,0,0,1,ok,51040,0,replay=match
canonical,480,168,480,0,0,1,ok,52800,0,replay=single
cool,480,208,480,0,0,1,ok,242101,1047,replay=match
escal,480,176,480,0,0,1,ok,53627,14,replay=match
stallcool,480,180,480,0,0,1,ok,53039,6,replay=match
queue2spread,480,168,480,0,0,1,ok,52800,0,replay=match
canonical,496,170,496,0,0,1,ok,54560,0,replay=single
cool,496,198,496,0,0,1,ok,254113,1076,replay=match
escal,496,176,496,0,0,1,ok,55358,12,replay=match
stallcool,496,180,496,0,0,1,ok,54799,6,replay=match
queue2spread,496,170,496,0,0,1,ok,54560,0,replay=match
canonical,512,172,512,0,0,1,ok,56320,0,replay=single
cool,512,201,512,0,0,1,ok,266126,1108,replay=match
escal,512,176,512,0,0,1,ok,57106,12,replay=match
stallcool,512,180,512,0,0,1,ok,56559,6,replay=match
queue2spread,512,172,512,0,0,1,ok,56320,0,replay=match
canonical,528,174,528,0,0,1,ok,58080,0,replay=single
cool,528,193,528,0,0,1,ok,285777,1125,replay=match
escal,528,176,528,0,0,1,ok,58854,12,replay=match
stallcool,528,180,528,0,0,1,ok,58319,6,replay=match
queue2spread,528,174,528,0,0,1,ok,58080,0,replay=match
canonical,544,176,544,0,0,1,ok,59840,0,replay=single
cool,544,209,544,0,0,1,ok,308382,1164,replay=match
escal,544,176,544,0,0,1,ok,60602,12,replay=match
stallcool,544,180,544,0,0,1,ok,60079,6,replay=match
queue2spread,544,176,544,0,0,1,ok,59840,0,replay=match
canonical,560,178,560,0,0,1,ok,61600,0,replay=single
cool,560,197,560,0,0,1,ok,331635,1191,replay=match
escal,560,178,560,0,0,1,ok,62350,12,replay=match
stallcool,560,180,560,0,0,1,ok,61839,6,replay=match
queue2spread,560,178,560,0,0,1,ok,61600,0,replay=match
canonical,576,180,576,0,0,1,ok,63360,0,replay=single
cool,576,204,576,0,0,1,ok,348928,1272,replay=match
escal,576,180,576,0,0,1,ok,64119,13,replay=match
stallcool,576,180,576,0,0,1,ok,63613,7,replay=match
queue2spread,576,180,576,0,0,1,ok,63360,0,replay=match
canonical,592,182,592,0,0,1,ok,65120,0,replay=single
cool,592,225,592,0,0,1,ok,355856,1326,replay=match
escal,592,191,592,0,0,1,ok,66712,25,replay=match
stallcool,592,189,592,0,0,1,ok,65947,15,replay=match
queue2spread,592,184,592,0,0,1,ok,65578,4,replay=match
canonical,608,184,608,0,0,1,ok,66880,0,replay=single
cool,608,206,608,0,0,1,ok,347961,1341,replay=match
escal,608,191,608,0,0,1,ok,68456,25,replay=match
stallcool,608,189,608,0,0,1,ok,67707,15,replay=match
queue2spread,608,184,608,0,0,1,ok,67323,4,replay=match
canonical,624,186,624,0,0,1,ok,68640,0,replay=single
cool,624,205,624,0,0,1,ok,354694,1356,replay=match
escal,624,191,624,0,0,1,ok,70200,25,replay=match
stallcool,624,189,624,0,0,1,ok,69467,15,replay=match
queue2spread,624,186,624,0,0,1,ok,69075,4,replay=match
canonical,640,188,640,0,0,1,ok,70400,0,replay=single
cool,640,204,640,0,0,1,ok,363866,1376,replay=match
escal,640,191,640,0,0,1,ok,71944,25,replay=match
stallcool,640,189,640,0,0,1,ok,71227,15,replay=match
queue2spread,640,188,640,0,0,1,ok,70827,4,replay=match
canonical,656,190,656,0,0,1,ok,72160,0,replay=single
cool,656,210,656,0,0,1,ok,383912,1418,replay=match
escal,656,191,656,0,0,1,ok,73688,25,replay=match
stallcool,656,190,656,0,0,1,ok,72987,15,replay=match
queue2spread,656,190,656,0,0,1,ok,72579,4,replay=match
canonical,672,192,672,0,0,1,ok,73920,0,replay=single
cool,672,211,672,0,0,1,ok,411345,1448,replay=match
escal,672,192,672,0,0,1,ok,75432,25,replay=match
stallcool,672,192,672,0,0,1,ok,74747,15,replay=match
queue2spread,672,192,672,0,0,1,ok,74331,4,replay=match
canonical,688,194,688,0,0,1,ok,75680,0,replay=single
cool,688,210,688,0,0,1,ok,439836,1468,replay=match
escal,688,194,688,0,0,1,ok,77176,25,replay=match
stallcool,688,194,688,0,0,1,ok,76507,15,replay=match
queue2spread,688,194,688,0,0,1,ok,76083,4,replay=match
canonical,704,196,704,0,0,1,ok,77440,0,replay=single
cool,704,225,704,0,0,1,ok,458823,1544,replay=match
escal,704,196,704,0,0,1,ok,78920,25,replay=match
stallcool,704,196,704,0,0,1,ok,78264,15,replay=match
queue2spread,704,196,704,0,0,1,ok,77835,4,replay=match
canonical,720,198,720,0,0,1,ok,79200,0,replay=single
cool,720,220,720,0,0,1,ok,482093,1605,replay=match
escal,720,203,720,0,0,1,ok,81527,38,replay=match
stallcool,720,204,720,0,0,1,ok,80316,23,replay=match
queue2spread,720,200,720,0,0,1,ok,79775,5,replay=match
canonical,736,200,736,0,0,1,ok,80960,0,replay=single
cool,736,253,736,0,0,1,ok,501309,1627,replay=match
escal,736,203,736,0,0,1,ok,83267,38,replay=match
stallcool,736,204,736,0,0,1,ok,82076,23,replay=match
queue2spread,736,200,736,0,0,1,ok,81507,5,replay=match
