# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
stallcool,688,1995,688,0,0,1,ok,65513948,9687,replay=match
queue2spread,688,5000,430,0,0,0,ok,11075768,1420,replay=match
canonical,704,5000,341,0,0,0,ok,7571075,0,replay=single
cool,704,2152,704,0,0,1,ok,100988405,15887,replay=match
escal,704,1951,704,0,0,1,ok,70564159,10021,replay=match
stallcool,704,1968,704,0,0,1,ok,66923200,10040,replay=match
queue2spread,704,1967,704,0,0,1,ok,12613966,2749,replay=match
canonical,720,5000,326,0,0,0,ok,7741510,0,replay=single
cool,720,2103,720,0,0,1,ok,101926092,16000,replay=match
escal,720,1985,720,0,0,1,ok,73293119,10640,replay=match
stallcool,720,1985,720,0,0,1,ok,68931931,10348,replay=match
queue2spread,720,5000,335,0,0,0,ok,9603198,503,replay=match
canonical,736,5000,325,0,0,0,ok,7913092,0,replay=single
cool,736,2141,736,0,0,1,ok,103329709,16211,replay=match
escal,736,1945,736,0,0,1,ok,75360062,10835,replay=match
stallcool,736,1937,736,0,0,1,ok,71674655,10812,replay=match
queue2spread,736,5000,326,0,0,0,ok,10744994,830,replay=match
canonical,752,5000,329,0,0,0,ok,8085165,0,replay=single
cool,752,2193,752,0,0,1,ok,104644452,16312,replay=match
escal,752,2010,752,0,0,1,ok,76275763,11016,replay=match
stallcool,752,2022,752,0,0,1,ok,72857494,10692,replay=match
queue2spread,752,5000,326,0,0,0,ok,10182160,535,replay=match
canonical,768,5000,320,0,0,0,ok,8256918,0,replay=single
cool,768,2166,768,0,0,1,ok,105450212,16405,replay=match
escal,768,2066,768,0,0,1,ok,79515878,11946,replay=match
stallcool,768,2082,768,0,0,1,ok,76261643,11527,replay=match
queue2spread,768,5000,321,0,0,0,ok,12438170,1063,replay=match
canonical,784,5000,319,0,0,0,ok,8429657,0,replay=single
cool,784,2142,784,0,0,1,ok,104950184,16430,replay=match
escal,784,2025,784,0,0,1,ok,80320337,11717,replay=match
stallcool,784,2078,784,0,0,1,ok,76589471,11144,replay=match
queue2spread,784,5000,325,0,0,0,ok,11496101,862,replay=match
canonical,800,5000,326,0,0,0,ok,8601806,0,replay=single
cool,800,2259,800,0,0,1,ok,107523122,16743,replay=match
escal,800,2069,800,0,0,1,ok,82248509,12025,replay=match
stallcool,800,2127,800,0,0,1,ok,79252545,12233,replay=match
