# arm,agents,ticks,arrived,crowd_blocked,unreachable,turnaround,walls,expansions,scoped_replans,replay
canonical,496,598,496,0,0,1,ok,3004580,0,replay=single
cool,496,578,496,0,0,1,ok,10439282,4231,replay=match
escal,496,625,496,0,0,1,ok,8318045,2809,replay=match
stallcool,496,664,496,0,0,1,ok,9596056,2904,replay=match
queue2spread,496,598,496,0,0,1,ok,2980082,0,replay=match
canonical,512,598,512,0,0,1,ok,3006340,0,replay=single
cool,512,611,512,0,0,1,ok,9691420,3822,replay=match
escal,512,625,512,0,0,1,ok,8318976,2809,replay=match
stallcool,512,664,512,0,0,1,ok,9597816,2904,replay=match
queue2spread,512,598,512,0,0,1,ok,2981842,0,replay=match
canonical,528,612,528,0,0,1,ok,3174764,0,replay=single
cool,528,607,528,0,0,1,ok,9776287,4101,replay=match
escal,528,689,528,0,0,1,ok,9469396,3271,replay=match
stallcool,528,745,528,0,0,1,ok,9694290,3085,replay=match
queue2spread,528,612,528,0,0,1,ok,3149355,0,replay=match
canonical,544,628,544,0,0,1,ok,3342932,0,replay=single
cool,544,586,544,0,0,1,ok,10757851,4091,replay=match
escal,544,660,544,0,0,1,ok,9906343,3248,replay=match
stallcool,544,685,544,0,0,1,ok,10483541,3307,replay=match
queue2spread,544,628,544,0,0,1,ok,3316591,0,replay=match
canonical,560,644,560,0,0,1,ok,3510794,0,replay=single
cool,560,712,560,0,0,1,ok,10781648,4138,replay=match
escal,560,658,560,0,0,1,ok,10540411,3478,replay=match
stallcool,560,714,560,0,0,1,ok,10930651,3179,replay=match
queue2spread,560,644,560,0,0,1,ok,3482889,0,replay=match
canonical,576,660,576,0,0,1,ok,3649986,0,replay=single
cool,576,637,576,0,0,1,ok,11461444,4061,replay=match
escal,576,776,576,0,0,1,ok,10117012,3371,replay=match
stallcool,576,822,576,0,0,1,ok,11471542,3422,replay=match
queue2spread,576,660,576,0,0,1,ok,3619169,0,replay=match
canonical,592,676,592,0,0,1,ok,3733765,0,replay=single
cool,592,685,592,0,0,1,ok,12052351,4427,replay=match
escal,592,815,592,0,0,1,ok,10736452,3723,replay=match
stallcool,592,779,592,0,0,1,ok,12373657,3639,replay=match
queue2spread,592,676,592,0,0,1,ok,3728375,4,replay=match
canonical,608,692,608,0,0,1,ok,3761032,0,replay=single
cool,608,696,608,0,0,1,ok,12407541,4740,replay=match
escal,608,706,608,0,0,1,ok,10749939,3549,replay=match
stallcool,608,786,608,0,0,1,ok,11795844,3623,replay=match
queue2spread,608,692,608,0,0,1,ok,3753684,10,replay=match
canonical,624,693,624,0,0,1,ok,3762795,0,replay=single
cool,624,676,624,0,0,1,ok,12241013,4807,replay=match
escal,624,812,624,0,0,1,ok,10575585,3669,replay=match
stallcool,624,900,624,0,0,1,ok,12283448,3788,replay=match
queue2spread,624,693,624,0,0,1,ok,3756001,38,replay=match
canonical,640,693,640,0,0,1,ok,3764555,0,replay=single
cool,640,741,640,0,0,1,ok,12846600,4783,replay=match
escal,640,812,640,0,0,1,ok,10576215,3669,replay=match
stallcool,640,900,640,0,0,1,ok,12285208,3788,replay=match
queue2spread,640,693,640,0,0,1,ok,3757409,38,replay=match
canonical,656,707,656,0,0,1,ok,3933187,0,replay=single
cool,656,650,656,0,0,1,ok,13096857,4576,replay=match
escal,656,699,656,0,0,1,ok,11099065,3638,replay=match
stallcool,656,835,656,0,0,1,ok,12129750,3735,replay=match
queue2spread,656,707,656,0,0,1,ok,3924835,38,replay=match
canonical,672,723,672,0,0,1,ok,4101563,0,replay=single
cool,672,689,672,0,0,1,ok,13042205,4693,replay=match
escal,672,723,672,0,0,1,ok,11159797,3742,replay=match
stallcool,672,793,672,0,0,1,ok,12848692,3930,replay=match
queue2spread,672,723,672,0,0,1,ok,4091953,38,replay=match
canonical,688,739,688,0,0,1,ok,4269661,0,replay=single
cool,688,729,688,0,0,1,ok,12959147,4745,replay=match
escal,688,864,688,0,0,1,ok,13017676,3970,replay=match
stallcool,688,786,688,0,0,1,ok,12992866,3974,replay=match
queue2spread,688,739,688,0,0,1,ok,4258117,38,replay=match
canonical,704,755,704,0,0,1,ok,4409301,0,replay=single
cool,704,702,704,0,0,1,ok,13585223,4786,replay=match
escal,704,850,704,0,0,1,ok,12964219,4124,replay=match
stallcool,704,834,704,0,0,1,ok,14040477,4182,replay=match
queue2spread,704,755,704,0,0,1,ok,4393573,4,replay=match
canonical,720,771,720,0,0,1,ok,4493281,0,replay=single
cool,720,802,720,0,0,1,ok,13549016,4867,replay=match
escal,720,763,720,0,0,1,ok,13628813,4378,replay=match
stallcool,720,983,720,0,0,1,ok,13885849,4291,replay=match
queue2spread,720,771,720,0,0,1,ok,4480860,5,replay=match
canonical,736,787,736,0,0,1,ok,4520883,0,replay=single
cool,736,745,736,0,0,1,ok,13537664,4883,replay=match
escal,736,771,736,0,0,1,ok,13130072,4276,replay=match
stallcool,736,860,736,0,0,1,ok,14128185,4318,replay=match
queue2spread,736,842,736,0,0,1,ok,4506519,5,replay=match
canonical,752,788,752,0,0,1,ok,4522646,0,replay=single
cool,752,736,752,0,0,1,ok,13622906,4813,replay=match
escal,752,922,752,0,0,1,ok,14381162,4778,replay=match
